"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/LearningKit_Games/Assets/VFX/LightRay/M_vfx_lightray_01_bright.M_vfx_lightray_01_bright","16","71","71","1","180.258057","0","71"
"/Game/LearningKit_Games/Assets/VFX/Dependencies/Materials/M_ParticleMaskedFade.M_ParticleMaskedFade","16","14","14","1","26.252693","0","14"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","16","712","735","1","0.000000","0","735"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","16","29","0","1","0.000000","0","0"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","16","12","12","1","31.166462","0","12"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","16","13","13","1","17.479813","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","16","25","27","1","53.443111","0","27"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","16","25","27","1","53.854267","0","27"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","16","13","13","1","19.296091","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","16","13","13","1","17.904320","0","13"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","16","5","5","1","7.318714","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","16","5","5","1","7.554561","0","5"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","16","47","0","1","0.000000","0","0"
"","16","1","0","1","0.000000","0","0"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","16","118","128","6","256.736115","0","128"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","16","262","246","6","756.000000","0","246"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","16","96","0","2","0.000000","0","0"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","16","262","246","6","683.167358","0","246"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","16","270","288","6","856.414551","0","288"
"/InterchangeAssets/gltf/M_Default.M_Default","16","354","376","8","1275.065918","0","376"
"/Game/LearningKit_Games/Assets/VFX/Pollen/M_vfx_aura.M_vfx_aura","16","52","64","2","96.981415","0","64"
"/Game/LearningKit_Games/Assets/_Shared/Materials/M_LearningKit_Foliage_Master.M_LearningKit_Foliage_Master","16","158","158","2","209.046982","0","158"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","16","58","62","1","194.464554","0","62"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","16","84","88","1","265.419250","0","88"
"/Game/LearningKit_Games/Assets/_Shared/Materials/M_LearningKit_MasterMaterial.M_LearningKit_MasterMaterial","16","667","667","7","1662.263916","47","667"
"/Game/LearningKit_Games/Assets/Characters/Character/Material/M_EpicCharacter_Optimized.M_EpicCharacter_Optimized","16","26","26","1","48.899662","0","26"
